Tm,BatAge,R/G_x,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,TB,GDP,HBP_x,SH,SF,IBB_x,Year,PAge,R/G_y,W,L,W-L%,ERA,RA9,G_y,GS,GF,CG,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
LG Twins,29.3,,,4742,4184,468,1070,164,23,66,447,111,45,364,765,0.256,0.321,0.353,0.674,1478,90,59,85,50,6,2008,27.1,5.13,46,80,0.365,4.88,5.25,126,125,126,1,0,25,1108.1,1239,646,601,82,480,4,631,72,3,46,4976,1.551,10.1,0.7,3.9,5.1,1.31
Doosan Bears,26.7,,,4974,4344,647,1198,166,37,68,598,189,63,472,719,0.276,0.354,0.378,0.732,1642,115,78,36,44,23,2008,26.2,4.3,70,56,0.556,3.89,4.3,126,125,126,0,0,26,1134.2,1115,542,490,78,379,13,780,69,5,45,4857,1.317,8.8,0.6,3.0,6.2,2.06
Kia Tigers,28.3,,,4831,4210,503,1095,188,28,48,465,131,65,453,642,0.26,0.336,0.35200000000000004,0.6890000000000001,1483,97,48,85,35,14,2008,25.6,4.4,57,69,0.452,4.08,4.44,126,126,127,3,1,29,1124.0,1078,555,510,65,473,9,733,77,5,52,4850,1.38,8.6,0.5,3.8,5.9,1.55
Lotte Giants,27.6,,,4890,4256,624,1200,199,22,93,590,133,69,445,728,0.282,0.35600000000000004,0.405,0.7609999999999999,1722,97,76,62,51,13,2008,28.5,4.11,69,57,0.5479999999999999,3.68,4.17,126,125,126,9,3,27,1119.0,1134,518,457,70,409,32,671,47,2,42,4769,1.379,9.1,0.6,3.3,5.4,1.64
SK Wyverns,26.9,,,5003,4332,632,1222,215,23,89,591,170,83,491,735,0.282,0.361,0.404,0.765,1750,100,62,80,38,15,2008,28.1,3.66,83,43,0.659,3.22,3.6,126,125,126,1,1,43,1151.0,1053,461,412,78,448,13,801,55,2,35,4855,1.304,8.2,0.6,3.5,6.3,1.79
Hanwha Eagles,28.4,,,4882,4275,592,1086,204,20,120,566,97,25,463,770,0.254,0.333,0.395,0.728,1690,100,57,52,35,17,2008,28.8,4.72,64,62,0.508,4.43,4.74,126,126,126,3,1,36,1129.2,1136,595,556,95,519,28,723,49,6,37,4911,1.465,9.1,0.8,4.1,5.8,1.39
Woori Heroes,29.5,,,4834,4317,499,1149,190,19,70,471,97,57,396,713,0.266,0.331,0.368,0.698,1587,114,37,51,33,20,2008,27.0,4.83,50,76,0.397,4.44,4.87,126,125,126,4,2,29,1125.1,1159,609,555,91,465,20,729,70,2,45,4933,1.443,9.3,0.7,3.7,5.8,1.57
Samsung Lions,29.2,,,4858,4180,557,1078,186,16,92,520,59,37,505,699,0.258,0.344,0.376,0.72,1572,115,65,70,38,15,2008,28.2,4.73,65,61,0.516,4.42,4.78,126,125,126,0,0,40,1123.1,1184,596,552,87,416,4,703,43,4,49,4867,1.4240000000000002,9.5,0.7,3.3,5.6,1.69
SK Wyverns,28.0,5.5,133.0,5378,4574,732,1303,235,17,166,693,181,68,552,892,0.285,0.369,0.453,0.8220000000000001,2070,103,84,128,40,16,2009,27.7,4.14,80,47,0.63,3.68,4.08,133,133,133,2,0,33,1213.0,1141,550,496,130,519,34,1032,54,3,68,5203,1.369,8.5,1.0,3.9,7.7,1.99
Doosan Bears,26.2,5.43,133.0,5265,4591,722,1286,215,33,120,669,129,50,522,849,0.28,0.362,0.42,0.7809999999999999,1927,128,86,26,40,21,2009,25.4,4.98,71,60,0.542,4.62,5.02,133,133,133,1,0,32,1186.1,1221,662,609,120,515,7,862,75,3,55,5205,1.463,9.3,0.9,3.9,6.5,1.67
Kia Tigers,28.4,5.31,133.0,5215,4455,706,1191,197,24,156,671,113,52,579,890,0.267,0.35700000000000004,0.4270000000000001,0.785,1904,111,66,74,41,27,2009,27.0,4.37,81,48,0.628,3.92,4.36,133,133,133,4,0,38,1199.0,1178,581,522,108,441,22,893,83,2,22,5176,1.35,8.8,0.8,3.3,6.7,2.02
Samsung Lions,27.9,5.15,133.0,5220,4459,685,1224,233,15,146,650,125,50,584,789,0.275,0.364,0.4320000000000001,0.7959999999999999,1925,108,67,67,43,23,2009,25.9,5.26,64,69,0.481,4.98,5.41,133,133,133,3,1,32,1163.2,1226,700,644,141,609,9,905,56,1,67,5209,1.577,9.5,1.1,4.7,7.0,1.49
Woori Heroes,29.4,5.14,133.0,5208,4486,683,1219,228,20,153,650,192,67,547,905,0.272,0.35600000000000004,0.434,0.789,1946,116,63,64,48,24,2009,26.3,5.73,60,72,0.455,5.45,5.84,133,133,133,0,0,29,1174.1,1231,762,711,176,565,19,840,61,5,51,5221,1.529,9.4,1.3,4.3,6.4,1.49
LG Twins,29.7,5.04,133.0,5248,4505,670,1251,182,21,129,627,141,47,552,781,0.278,0.36,0.413,0.773,1862,124,49,97,45,28,2009,27.6,5.74,54,75,0.419,5.42,5.84,133,133,133,0,0,25,1175.0,1316,763,707,165,585,10,777,91,1,56,5339,1.618,10.1,1.3,4.5,6.0,1.33
Hanwha Eagles,28.5,4.94,133.0,5273,4620,657,1241,211,13,164,629,69,20,498,1017,0.269,0.348,0.426,0.774,1970,126,81,43,31,16,2009,26.7,6.05,46,84,0.354,5.71,6.17,133,133,133,4,2,16,1174.0,1335,805,745,176,569,28,908,77,5,56,5346,1.622,10.2,1.3,4.4,7.0,1.6
Lotte Giants,27.7,4.79,133.0,5053,4420,637,1223,252,15,121,597,106,45,456,816,0.277,0.35,0.423,0.773,1868,121,68,60,49,9,2009,27.6,5.03,66,67,0.496,4.75,5.18,133,133,133,6,6,40,1162.1,1290,669,614,139,487,35,722,67,3,49,5165,1.529,10.0,1.1,3.8,5.6,1.48
Lotte Giants,27.6,5.9,131.0,5261,4673,773,1345,220,16,185,739,124,51,420,873,0.28800000000000003,0.35200000000000004,0.461,0.813,2152,105,67,60,41,15,2010,26.4,5.42,69,61,0.531,4.86,5.35,131,131,133,7,3,21,1194.0,1291,710,645,149,419,41,779,78,3,49,5204,1.432,9.7,1.1,3.2,5.9,1.86
Doosan Bears,26.5,5.58,131.0,5252,4538,731,1276,224,25,149,706,128,61,533,834,0.281,0.365,0.44,0.805,1997,97,89,54,38,27,2010,26.1,5.11,73,57,0.562,4.63,5.1,131,131,133,2,0,30,1179.2,1190,669,607,135,437,6,888,85,2,58,5131,1.379,9.1,1.0,3.3,6.8,2.03
SK Wyverns,28.8,5.37,131.0,5213,4439,704,1217,222,16,120,648,161,69,485,813,0.274,0.355,0.412,0.768,1831,86,98,147,44,25,2010,28.6,4.16,84,47,0.6409999999999999,3.73,4.09,131,131,133,2,1,36,1198.1,1074,545,496,117,543,27,1091,47,2,80,5114,1.349,8.1,0.9,4.1,8.2,2.01
