#Bat,#P,25-Man,2B,3B,AB,Avg_Salary,BA,BB9,BB_x,BB_y,BF,BK,BatAge,Buried,CG,CS,Disabled List,ER,ERA,ERA+,FIP,GDP,GF,GS,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,R/G,RA/G,RBI,R_x,R_y,Rank,Retained,Roster,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,Suspended,TB,Tm,Total Payroll,W,WHIP,WP,Year,cSho,tSho
51,25,57930520.0,293,37,5421,1731183.4473684214,0.25,2.8,531,442,6102,7,28.3,,5,55,,609,3.8,104,4.02,82,157,162,162,162,8.8,61,53,1.0,172,159,1357,1414,55,16,1443.1,1064,1110,0.322,0.736,99,6096,27.4,4.51,4.09,702,731,662,,,38,133,33,50,0.413,2.39,6.6,1249,1058,58,,2240,ARI,65784971.0,94,1.286,39,2011,1,12
45,21,98521630.0,244,16,5528,2321633.255813953,0.243,3.2,504,521,6220,5,28.9,,3,44,,572,3.48,110,3.49,113,159,162,162,162,8.1,28,53,0.8,173,125,1345,1332,45,73,1479.2,1109,1176,0.308,0.695,90,6169,28.4,3.96,3.73,606,641,605,,,43,77,30,75,0.387,2.56,8.1,1260,1332,52,,2140,ATL,99830230.0,89,1.252,61,2011,2,16
50,27,94391741.0,273,13,5585,1926362.0612244897,0.257,3.3,452,535,6332,4,28.3,,3,25,,786,4.89,86,4.67,154,159,162,162,162,9.8,52,45,1.3,191,210,1434,1568,24,42,1446.2,1069,1132,0.316,0.7290000000000001,97,6156,28.2,4.37,5.31,684,708,860,,,49,81,43,24,0.413,1.95,6.5,1120,1044,32,,2306,BAL,94391741.0,69,1.454,32,2011,1,7
49,27,164517590.0,352,35,5710,3671345.978723405,0.28,3.3,578,540,6242,7,30.0,,2,42,,680,4.2,103,4.05,136,160,162,162,162,8.4,50,90,1.0,203,156,1600,1366,52,11,1457.1,1190,1133,0.349,0.81,116,6414,30.3,5.4,4.55,842,875,737,,,47,102,50,22,0.461,2.25,7.5,1108,1213,36,,2631,BOS,172553261.0,90,1.308,58,2011,1,13
42,22,124652698.0,285,36,5549,3486942.45,0.256,3.6,425,580,6262,5,29.2,,4,23,,690,4.33,90,4.11,123,158,162,162,162,9.0,59,53,1.0,148,162,1423,1439,35,45,1434.1,1141,1203,0.314,0.715,95,6130,29.4,4.04,4.67,610,654,756,,,40,69,35,60,0.401,2.11,7.7,1202,1224,40,,2224,CHC,139477698.0,71,1.408,51,2011,1,5
42,22,123584951.0,252,16,5502,3265593.725,0.252,2.7,475,439,6188,4,30.0,,6,53,,665,4.1,106,3.66,125,156,162,162,162,9.0,84,44,0.9,154,147,1387,1463,31,50,1460.0,1126,1102,0.319,0.706,89,6159,28.5,4.04,4.36,625,654,706,,,40,81,46,52,0.388,2.78,7.5,989,1220,42,,2133,CHW,130623749.0,79,1.3030000000000002,55,2011,4,14
42,21,79612874.0,264,19,5612,2155803.842105264,0.256,3.3,535,539,6259,13,28.6,,4,50,,678,4.16,95,4.37,98,158,162,162,162,8.7,63,59,1.1,183,185,1438,1414,52,47,1467.2,1189,1136,0.326,0.7340000000000001,98,6329,27.7,4.54,4.44,697,735,720,,,38,97,40,78,0.408,2.06,6.8,1250,1112,39,,2289,CIN,81920546.0,79,1.331,51,2011,2,5
46,22,55960593.0,290,26,5509,1243568.7333333334,0.25,2.9,494,463,6235,3,27.8,,2,42,,683,4.23,93,4.06,111,160,162,162,162,9.2,65,60,0.9,154,153,1380,1482,30,34,1453.1,1075,1115,0.317,0.7140000000000001,100,6142,26.7,4.35,4.69,671,704,760,,,45,89,43,31,0.396,2.21,6.3,1269,1024,38,,2184,CLE,55960593.0,80,1.338,42,2011,0,4
55,29,77731972.0,274,40,5544,2601942.8125,0.258,3.2,555,522,6215,7,28.6,,5,42,,713,4.43,103,4.24,112,157,162,162,162,9.1,57,48,1.1,163,176,1429,1471,54,47,1447.2,1172,1098,0.329,0.7390000000000001,88,6275,27.7,4.54,4.78,697,735,774,,,32,118,44,75,0.41,2.14,7.0,1201,1118,41,,2272,COL,83262170.0,73,1.3769999999999998,65,2011,2,7
45,26,111271015.0,297,34,5563,3097805.972222222,0.277,3.1,521,492,6108,5,28.7,,4,20,,647,4.04,103,3.95,142,158,162,162,162,8.8,39,52,0.9,169,149,1540,1406,47,34,1440.0,1165,1077,0.34,0.773,109,6231,27.8,4.86,4.39,750,787,711,,,36,49,58,50,0.434,2.27,7.0,1143,1115,52,,2412,DET,111521015.0,95,1.318,69,2011,2,14
